BKN,6.34,6500
BKPRD,,
BKPRE,,
BKS,,580000
BKT,7.69,83200
BLC,1.41,264000
BLH,5.25,8900
BLI,,426400
BLK,,268900
BLL,0.63,334800
BLN,4.59,12600
BLS,3.65,4234100
BLT,,12400
BLU,9.57,69000
BMC,,1487600
BMM,0.77,4700
BMN,5.27,44500
BMS,2.53,385400
BMT,5.23,18800
BMY,4.97,5494700
BMYPR,,
BN,2.12,75200
BNA,7.62,35900
BNE,2.11,61200
BNI,1.82,1402800
BNJ,6.36,2000
BNK,2.94,613500
BNY,6.64,12900
BOH,2.36,349700
BOL,1.58,696000
BOW,2.10,309400
BOY,9.56,13200
BOYPRA,,
BPK,5.55,20500
BPL,7.02,41800
BPT,22.44,102100
BQH,6.83,5300
BQT,1.05,149800
BR,1.16,1253500
BRC,2.62,59100
BRE,6.53,149200
BREPRA,,
BREPRB,,
BRF,4.71,17800
BRKA,,
BRKB,,
BRL,,691000
BRM,4.72,23200
BRO,0.64,846800
BRT,8.00,3900
BRW,,1638600
BRX,,200
BRY,2.93,15400
BSC,0.99,1274800
BSCPRA,,
BSCPRE,,
BSCPRF,,
BSCPRG,,
BSCPRX,,
BSCPRY,,
BSE,6.53,4400
BSG,,560100
BSH,11.56,27800
BSP,8.66,12800
BSX,,2301700
BTAPRA,,
BTF,0.23,4400
BTH,1.02,170000
BTO,1.61,163100
BTT,,
BTU,1.45,341300
BUD,1.62,2318300
BUFPRC,,
BVC,,189500
BVS,9.46,1500
BW,8.59,132100
BWA,1.33,434900
BWC,1.72,95000
BWEPR,,
BWS,1.37,281300
BXG,,17900
BXP,6.17,249700
BXS,3.31,127100
BXSPRA,,
BY,,
BYD,,154100
BYM,6.73,27100
BZ,3.95,19000
BZA,7.04,2400
BZF,2.14,59800
BZH,,563400
BZL,0.79,15400
C,2.08,21663700
CA,0.57,2051900
CAE,2.72,17400
CAG,4.72,2867700
CAGPRB,,
CAH,0.17,2696000
CAI,,148300
CAL,,4936000
CAM,,1559300
CAO,,333400
CAT,2.61,2817500
CAV,,5500
CB,3.02,1429900
CBC,,34600
CBE,3.76,302700
CBF,7.00,11200
CBG,,
CBGPRC,,
CBH,1.77,1229000
CBK,,183500
CBL,6.29,97900
CBLPRA,,
CBLPRB,,
CBM,0.72,210000
CBO,6.73,21800
CBPRA,,
CBR,,67500
CBT,2.10,150300
CBU,3.51,41100
CBZ,,59100
CC,1.25,2075500
CCB,7.38,9200
CCC,2.46,50600
CCE,0.80,1165700
CCI,,1232300
CCK,,947300
CCL,1.62,3884600
CCPPRA,,
CCS,7.67,1000
CCT,7.33,800
CCU,,6148500
CCWI,,
CCZ,5.76,7700
CD,,4704000
CDC,18.37,11100
CDD,7.23,500
CDE,,470400
CDI,,77100
CDN,,1873700
CDT,,54000
CDX,,459200
CE,,7967000
CEE,1.65,12700
CEG,3.60,314000
CEI,10.31,478000
CEIPRA,,
CEIPRB,,
CEN,,446800
CERPR,,
CEW,7.97,3000
CEY,,110800
CF,3.11,1418400
CFB,1.59,137200
CFC,0.80,1057600
CFD,11.11,21000
CFE,7.95,300
CFI,,68900
CFN,8.04,3300
CFP,8.41,700
CFR,2.84,173000
CG,9.44,259700
CGC,5.16,8000
CGD,11.67,9700
CGI,3.43,30000
CGK,9.76,6600
CGO,,570300
CGPPRT,,
CGV,6.90,500
CGX,,62200
CH,0.27,3500
CHB,,46800
CHD,0.99,85900
CHE,1.41,39500
CHG,5.20,46000
CHH,,237500
CHI,8.97,284200
CHK,1.54,1606500
CHKPR,,
CHN,0.39,89700
CHP,0.42,118000
CHS,,577800
CHX,0.73,14400
CHZ,3.04,103900
CHZPRA,,
CI,2.78,620500
CIA,,11600
CIC,7.88,32500
CIF,9.91,38300
CIHPRA,,
CIK,10.05,180800
CIL,7.29,1300
CIN,5.32,647300
CINPRA,,
CINPRB,,
CINPRC,,
CINPRI,,
CINPRJ,,
CIP,8.12,10500
CIR,1.14,48900
CIT,2.73,976300
CIVPRB,,
CIVPRC,,
CIVPRD,,
CIX,7.91,700
CJO,7.81,0
CK,4.19,530600
CKC,,79000
CKH,,101400
CKI,9.78,2400
CKP,,224900
CKR,,537100
CL,1.70,2581200
CLC,1.29,96700
CLD,2.15,7100
CLE,0.62,344300
CLF,,13100
CLH,6.93,600
CLI,7.96,193400
CLM,16.89,13000
CLP,7.91,99200
CLPPRA,,
CLPPRC,,
CLPR,,
CLX,1.89,1228500
CMA,4.95,1451400
CMAPRZ,,
CMC,2.16,48000
CME,1.18,39700
CMH,0.52,677500
CMK,7.63,6500
CMM,,39700
CMMPRB,,
CMMPRF,,
CMMPRG,,
CMN,,5500
CMO,32.70,75000
CMOPRA,,
CMOPRB,,
CMS,,2566200
CMSPRA,,
CMSPRB,,
CMSPRJ,,
CMSPRK,,
CMSPRL,,
CMSPRM,,
CMSPRN,,
CMU,7.74,31000
CMV,7.28,7500
CMX,,2126100
CNA,,283600
CNB,4.87,198200
CNBPRA,,
CNF,1.40,546500
CNFPRT,,
CNJ,,1700
CNL,6.62,436700
CNN,10.99,9200
CNO,,
CNP,5.26,607800
CNPPRA,,
CNPPRC,,
CNPWI,,
CNT,4.08,60100
CNTPRA,,
CNX,3.37,143600
COA,1.88,18300
COE,,15200
COF,0.30,6372100
COFPRC,,
COG,0.64,114900
COH,,1000500
COL,1.93,749400
COO,0.21,326800
COP,3.12,2251000
COX,,1439000
COY,11.78,35800
CPB,2.90,1232500
CPC,0.59,153200
CPE,,5200
CPEPRA,,
CPF,2.48,11000
CPG,5.47,148100
CPJ,11.16,55300
CPK,5.79,5000
CPN,,7777700
CPO,1.34,126600
CPP,7.59,0
CPRF,,
CPRG,,
CPRH,,
CPRM,,
CPRN,,
CPRQ,,
CPRR,,
CPRV,,
CPRW,,
CPRX,,
CPRZ,,
CPS,,365100
CPT,7.56,157100
CPV,7.79,59600
CPY,4.24,29500
CPZPRA,,
CQB,,195000
CQBWS,,
CR,2.27,243000
CRA,,234400
CRC,,1900
CRDA,,
CRDB,,
CRE,7.81,515300
CREPRB,,
CREPRC,,
CREPRD,,
CRF,16.47,17600
CRH,7.24,2600
CRK,,100700
CRL,,699500
CRN,,65300
CRO,,
CRR,1.04,69600
CRS,2.92,59300
CRT,11.03,3400
CRY,,76200
CSC,,1696700
CSDPRA,,
CSK,5.07,40600
CSL,2.06,329700
CSP,8.38,15100
CSS,1.17,6100
CSU,,2300
CSV,,49100
CSX,1.33,1459100
CT,10.12,600
CTA,,
CTB,3.13,230700
CTG,,25400
CTI,,
CTL,0.78,1224600
CTLPRA,,
CTR,3.00,78700
CTS,1.71,73800
CTV,,97600
CTX,0.27,1296500
CUM,4.71,648000
CUR,,
CUZ,5.58,155000
CV,5.10,16600
CVB,7.24,1300
CVC,,1046300
CVD,,637600
CVEPR,,
CVEPRL,,
CVEPRU,,
CVG,,559200
CVH,,720400
CVI,7.51,0
CVS,0.94,2446600
CVT,6.64,72200
CVW,7.91,500
CVX,4.38,2870400
CW,1.01,19600
CW.B,1.01,0
CWEPRT,,
CWF,12.13,29000
CWN,8.32,57100
CWNPRA,,
CWT,4.29,26300
CWZ,10.97,2800
CXE,7.86,22200
CXH,6.79,6300
CXP,0.53,7600
CXR,,173300
CXT,5.36,0
CXW,,210300
CXWPRA,,
CXWPRB,,
CY,,1027600
CYE,12.17,126900
CYF,8.37,1200
CYG,8.73,1700
CYH,,2117600
CYK,9.66,1900
CYN,1.86,87400
CYP,7.36,200
CYR,7.94,22200
CYT,,356700
CZB,7.37,3700
CZN,,1023100
CZNPR,,
D,4.51,1262800
DAB,,31300
DAL,1.02,6085500
DBD,1.84,218600
DCA,8.04,1200
DCI,0.91,207900
DCN,0.50,479600
DCO,,17500
DCP,8.62,2900
DCQ,6.67,11100
DD,3.47,3035400
DDE,2.13,23700
DDF,10.56,21400
DDPRA,,
DDPRB,,
DDR,6.45,212600
DDRPRC,,
DDRPRD,,
DDRPRF,,
DDS,1.23,502600
DDT,9.74,16700
DE,2.14,1330000
DEL,1.02,3700
DF,,452500
DFG,0.80,68900
DFS,,22600
DFT,9.35,2300
DG,1.04,1742400
DGF,10.51,7100
DGX,,2608800
DHF,13.96,186400
DHI,1.27,818300
DHM,8.52,1000
DHR,0.15,1227900
DHY,12.15,71200
DIS,1.15,8070500
DIV,7.97,8500
DJ,2.55,1014800
DJO,,20200
DJT,,23100
DKA,3.76,3100
DKC,4.03,3700
DKE,16.47,144000
DKS,,895200
DL,0.83,740600
DLM,,843100
DLP,1.04,181800
DLW,,2400
DLX,3.41,440100
DMGPRA,,
DMN,4.93,53500
DNA,,1471900
DNB,,196700
DNP,7.73,452000
DNR,,205600
DNY,5.20,446100
DO,2.56,546100
DOL,1.79,2174800
DOM,11.56,26600
DOV,2.26,1184000
DOW,4.64,6963000
DP,0.63,54200
DPH,3.61,1280500
DPL,7.18,310300
DPRA,,
DPRU,,
DQC,6.22,11900
DQE,7.75,514500
DQPRA,,
DQUPRA,,
DQUPRB,,
DQUPRC,,
DQUPRD,,
DQUPRE,,
DQUPRG,,
DQZ,7.38,7600
DRD,,293600
DRE,6.59,300800
DREPRD,,
DREPRE,,
DREPRI,,
DRF,,118300
DRI,0.42,1116100
DRL,1.47,953300
DRQ,,7300
DRS,,258900
DSL,0.86,53300
DSM,7.07,52300
DSS,,326800
DST,,377800
DSU,12.37,182600
DSW,6.83,8000
DTA,7.58,5100
DTB,7.50,1900
DTE,5.31,786900
DTEPRA,,
DTEPRB,,
DTF,6.16,4700
DTG,,190500
DTH,7.30,4100
DUC,7.13,40600
DUK,7.46,5239000
DUKPRA,,
DUKPRQ,,
DUKPRT,,
DUKPRU,,
DUKPRV,,
DUKPRW,,
DUR,15.46,52700
DUT,6.44,18700
DV,,340900
DVA,,233900
DVD,1.09,27100
DVI,,4500
DXB,9.87,5000
DY,,786600
DYN,,3299200
EAC,,30600
EAIPRA,,
EAS,5.44,361500
EAT,,623700
EBF,5.51,26600
EC,1.74,627400
ECL,1.15,774000
ECT,7.65,12900
ED,5.67,448200
EDE,7.01,41600
EDEPRD,,
EDF,11.91,42900
EDL,,
EDO,0.70,118500
EDPRA,,
EDPRC,,
EDS,3.44,2745800
EDSPRI,,
EDV,6.89,14700
EE,,59900
EEP,8.63,116900
EEQ,9.54,50800
EF,12.63,36500
EFL,9.09,8500
EFX,0.40,557700
EGN,2.25,145900
EGP,7.20,28900
EGPPRA,,
EGSPRA,,
EHA,6.25,7100
EHB,5.74,19000
EHL,7.13,4600
EIX,,721400
EIXPRA,,
EIXPRB,,
EK,5.65,2367400
EL,0.67,860000
ELK,1.03,141800
ELX,,3132800
ELY,2.21,302900
EMC,,10098000
EMD,10.69,2900
EME,,99800
EMF,1.74,16700
EMN,5.97,619500
EMO,7.54,1300
EMQ,5.76,21200
EMR,3.28,1396800
ENC,,11700
ENN,8.07,118700
ENNPRA,,
ENP,,
ENR,,343900
ENSPRF,,
ENZ,,40700
EOG,0.42,971600
EOP,7.60,1540100
EOPPRB,,
EOPPRC,,
EOPPRE,,
EOPPRF,,
EOPPRG,,
EP,2.51,6796300
EPB,6.69,17500
EPD,6.37,117700
EPI,6.93,23300
EPL,,105500
EPN,8.51,139400
EPPRA,,
EPPRC,,
EPR,7.37,58500
EPRPRA,,
EQR,6.87,1253100
EQRPRB,,
EQRPRC,,
EQRPRD,,
EQRPRE,,
EQRPRG,,
EQRPRH,,
EQRPRL,,
EQS,,3600
EQT,1.79,187100
EQY,6.69,276900
ERE,7.32,4100
ESA,,321200
ESE,,68000
ESI,,407800
ESL,,27100
ESS,5.65,56300
ESV,0.39,2108700
ET,,3035200
ETF,,6600
ETH,0.74,342800
ETM,,434700
ETN,2.31,1178400
ETR,3.01,1774000
ETR,3.01,1774000
ETS,,894700
ETT,9.16,8000
EV,1.12,303100
EVC,,330600
EVF,5.93,80100
EVG,,94700
EVN,7.74,14100
EW,,269500
EWF,1.32,34100
EXC,3.63,1095900
EY,,13900
EYE,,268600
F,4.71,10301400
FA,,10900
FAF,1.56,300300
FB,15.25,161800
FBAPRT,,
FBC,1.39,75500
FBCPRO,,
FBCPRP,,
FBF,5.47,3747200
FBFPRJ,,
FBFPRK,,
FBFPRL,,
FBFPRM,,
FBN,,184700
FBR,13.84,473100
FC,,26900
FCEA,,
FCEB,,
FCF,5.09,283100
FCH,8.65,460700
FCHPRA,,
FCHPRB,,
FCJ,7.93,65700
FCN,,319400
FCO,6.79,10900
FCP,3.74,2500
FCS,,498700
FCX,1.97,1348400
FCXPRA,,
FCXPRB,,
FCXPRC,,
FCXPRD,,
FCZ,7.86,92300
FD,,1087700
FDC,0.22,6433400
FDO,0.89,866100
FDS,0.61,409800
FDX,0.34,2537600
FE,4.72,1321400
FED,,55200
FF,1.17,9000
FFG,2.00,2100
FGP,9.66,36200
FIC,0.16,357300
FIF,,105900
FIGPRA,,
FIGPRB,,
FII,0.81,15043000
FIX,,76200
FJC,3.64,33300
FJCPRA,,
FLA,0.40,25200
FLAB,,
FLE,3.39,87700
FLM,,
FLO,0.71,203100
FLR,1.80,691700
FLS,,297100
FLTPRG,,
FLTPRH,,
FLTPRI,,
FMC,,155900
FMI,6.71,14100
FMK,,10000
FMN,7.09,4900
FMT,1.63,325800
FMTPR,,
FNF,1.67,774400
FNM,2.18,7514400
FNMPRF,,
FNMPRG,,
FNMPRH,,
FNMPRI,,
FNMPRJ,,
FO,2.36,721400
FOB,,3900
FOE,2.74,237500
FON,4.23,7271800
FOPRA,,
FOX,,4665300
FPCPRA,,
