"Ticker symbol","div_yield","volume","notes"
"PG",2.61,34196152,
"CL",2.58,6589201,
"GWW",2.57,1417311,
"CPB",2.57,5342186,
"BR",2.57,1224561,
"GLW",2.56,27123450,
"LMT",2.47,4106326,
"NSM",2.47,6653775,
"BC",2.44,1751968,
"RTN",2.41,5921553,
"ADM",2.37,12228295,
"SPLS",2.33,13889521,
"PLL",2.31,1336271,
"TJX",2.27,9842321,
"XOM",2.26,84559856,
"ROH",2.25,12321008,
"CSX",2.2,13344250,
"MDT",2.16,19285684,
"PHM",2.14,11913570,
"TGT",2.14,22220032,
"MCD",2.13,20693646,
"NKE",2.11,6410469,
"BHI",2.08,10333040,
"QCOM",2.05,36280576,
"CTX",2.04,10555160,
"SLB",2.03,23664496,
"TMK",1.99,2158508,
"CMCSK",1.99,14189712,
"BBH",1.98,250535,
"LOW",1.96,21781420,
"SGP",1.93,22551336,
"KSWS",1.93,279658,
"ITT",1.93,2032438,
"BDX",1.89,3194414,
"BNI",1.89,8599405,
"UNP",1.89,13235658,
"DIS",1.87,28136928,
"WMT",1.84,40260920,
"CAH",1.83,4173777,
"PKI",1.83,1396647,
"S",1.82,64589684,
"WAG",1.82,12862852,
"BAX",1.8,9168594,
"DNB",1.79,689135,
"NEM",1.74,19539672,
"COST",1.71,10862833,
"ABX",1.7,34437804,
"SWY",1.7,8119739,
"ECL",1.69,5704552,
"BEN",1.62,3476383,
"FLR",1.61,6775154,
"EC",1.57,26626,
"SNE",1.53,2860715,
"FMC",1.48,2519226,
"AOC",1.48,7157737,
"JKHY",1.45,1355316,
"SIAL",1.44,2923890,
"ALTR",1.42,12085038,
"KR",1.41,12698876,
"BLL",1.38,1252552,
"ACV",1.32,1618439,
"MCK",1.26,5653316,
"APC",1.22,12388337,
"RX",1.22,3657197,
"PGR",1.2,11114855,
"APA",1.14,7612092,
"CA",1.09,8477916,
"HMC",1.03,1522536,
"CF",1.02,6051146,
"HP",0.97,5110335,
"CVS",0.96,26030262,
"EFX",0.8,1846115,
"BCR",0.8,1898798,
"DEL",0.74,95947,
"FDX",0.74,4663861,
"TEK",0.63,0,
"RL",0.61,3488250,
"CI",0.56,16410883,
"AGN",0.51,5817649,
"LUV",0.26,24038384,
"DHR",0.24,3547037,
"AET",0.22,14734974,
"UNH",0.18,17653824,
"SCH",,0,
"PMCS",,3909222,
"DELL",,58476184,
"TOM",,,
"TM",,2023694,
"SVNX",,,
"SAPE",,2857342,
"AMD",,22947220,
"WPI",,1581064,
"PLUG",,370061,
"VRSN",,6461870,
"PIXR",,0,
"TTN",,,
"ARXX",,,
"PSFT",,0,
"PGL",,,
"RIG",,14039535,
"UTSI",,1377616,
"USM",,406944,
"YHOO",,29909652,
"PZZA",,486795,
"ZIGO",,108334,
"UVN",,,
"PCLN",,1286720,
"UCL",,,
"TRB",,,
"PD",,,
"ADIC",,0,
"KSS",,9805256,
"WM",,,
"SFA",,14900,
"NIKU",,0,
"UPC",,,
"KRI",,,
"TXU",,,
"JBX",,1401289,
"AMGN",,19385456,
"SOTR",,0,
"FON",,0,
"NXTP",,0,
"WWY",,,
"RML",,,
"SBC",,0,
"SBUX",,21040670,
"KEYN",,97940,
"APCC",,0,
"QLGC",,4318660,
"SANM",,8911622,
"VIA",,229862,
"LXK",,2856761,
"SC",,,
"﻿COMS",,,
"SNDK",,9748606,
"SILI",,0,
"PSS",,5858859,
"SEBL",,0,
"BEAS",,0,
"SLAB",,1324593,
"CHKP",,4521037,
"TBL",,844843,
"TSG",,,
"FDRY",,4796464,
"CPN",,5306186,
"SLM",,10411986,
"TMO",,8495913,
"ADBE",,13488927,
"ADVS",,620824,
"QGENF",,,
"TNB",,746988,
"PVN",,,
"VANS",,0,
"VC",,775485,
"TOY",,,
"AEOS",,,
"TIBX",,4567547,
"CRA",,1907182,
"SAFC",,,
"ADPT",,900460,
"RBK",,,
"KYO",,19635,
"NVDA",,14984039,
"KDE",,62154,
"RCOM",,0,
"ABGX",,0,
"TER",,4424539,
"CMVT",,,
"ONE",,,
"QLTI",,752291,
"VRTS",,0,
"ZQK",,2192059,
"QSFT",,899658,
"UIS",,4282714,
"DG",,0,
"DJ",,,
"DRYR",,0,
"DPH",,,
"DAL",,14951199,
"ASO",,,
"DPMI",,,
"DLTR",,4160128,
"ODP",,13957214,
"REGN",,1077619,
"MGM",,3915955,
"BLS",,,
"LEH",,,
"BOL",,0,
"CPWR",,3541205,
"CVG",,1200352,
"CYTO",,0,
"DCX",,10600,
"COX",,,
"CREE",,1342033,
"CCK",,2790756,
"A",,3135854,
"CHINA",,642896,
"RD",,,
"RMBS",,3225764,
"FDC",,,
"FLEX",,21045820,
"GTW",,,
"SBL",,179200,
"AMR",,14966499,
"GDW",,,
"PDG",,,
"MSTR",,157063,
"EMC",,59032576,
"HLT",,,
"ELNK",,1828796,
"EBAY",,29051472,
"ERTS",,10739975,
"AMTD",,5435065,
"ONVI",,2400,
"NEWP",,378073,
"ENZ",,303386,
"ERICY",,,
"BBBY",,7997463,
"STJ",,8513962,
"F",,132068344,
"BSC",,200,
"PMTC",,4865287,
"BMC",,4267707,
"CAL",,9474068,
"CMRC",,0,
"BLI",,,
"CD",,,
"ARIA",,490944,
"BBI",,1866532,
"AWE",,0,
"APPB",,,
"AAPL",,56056064,
"AMCC",,1272853,
"ADSK",,15518384,
"ELON",,475529,
"ARW",,2292779,
"G",,303893,
"HGSI",,2012076,
"CSCO",,104238440,
"ADRX",,0,
"CNET",,0,
"FOX",,0,
"BUD",,,
"CC",,,
"ANDW",,,
"CSC",,1951061,
"KRB",,,
"CMGI",,,
"OO",,,
"BTY",,,
"BRCM",,13995137,
"BMET",,,
"BCC",,,
"PWAV",,2392963,
"HET",,,
"TLAB",,6616746,
"CEN",,,
"BRCD",,6531065,
"PSUN",,2275077,
"CRA",,1907182,
"MEL",,,
"MERQ",,,
"MU",,25536760,
"BSX",,27817268,
"MEDX",,2488501,
"MEDI",,,
"NAV",,1446601,
"MLNM",,0,
"AKAM",,8259352,
"RKY",,,
"RMD",,1183023,
"DVSA",,,
"DCN",,,
"MYG",,3809,
"HELX",,,
"AT",,,
"HCR",,,
"CTXS",,3864071,
"MDR",,8874063,
"MSO",,583265,
"AES",,10288779,
"MONE",,0,
"DCLK",,0,
"FD",,,
"OI",,2489349,
"NVLS",,4185232,
"AFFX",,2001302,
"ARBA",,2425661,
"CELG",,12934203,
"PTV",,4014209,
"ORCL",,73239040,
"GRA",,2014649,
"OSI",,,
"FOSL",,1875061,
"NCR",,3734744,
"CHIR",,0,
"MIL",,1000739,
"MWD",,0,
"QQQ",,,
"THC",,9452427,
"NOVL",,4934078,
"NTAP",,13864236,
"AZO",,3077301,
"NXTL",,0,
"SKX",,757851,
"HOTT",,2892282,
"HCA",,,
"HLTH",,4017801,
"DNA",,9588943,
"HUM",,6032870,
"AMZN",,15045084,
"HPC",,,
"ET",,,
"RFMD",,3508139,
"FCEL",,806984,
"GT",,10276060,
"GDT",,,
"OSCI",,11534,
"GP",,,
"ASKJ",,0,
"GLK",,,
"JNPR",,13459067,
"WLP",,8226520,
"ABS",,,
"GAP",,1168853,
"KKD",,581603,
"RHAT",,,
"OSIS",,295770,
"CIN",,0,
"AL",,0,
