BKN,6.42,14300
BKPRD,,
BKPRE,,
BKS,,598000
BKT,7.84,120100
BLC,1.33,341400
BLH,5.44,8000
BLI,,1035900
BLK,,77400
BLL,0.68,357200
BLN,4.70,5400
BLS,3.08,3863200
BLT,,9600
BLU,9.66,78900
BMC,,2077100
BMM,0.61,123600
BMN,5.30,10400
BMS,2.11,275200
BMT,5.38,12500
BMY,4.50,12858500
BMYPR,,
BN,2.03,93700
BNA,7.10,14800
BNE,1.85,58600
BNI,1.80,1178700
BNJ,6.44,12200
BNK,2.55,360900
BNY,6.73,19900
BOH,2.52,297800
BOL,1.44,182300
BOW,1.82,308600
BOY,7.92,17100
BOYPRA,,
BPK,5.80,28200
BPL,6.28,13700
BPT,15.12,115800
BQH,6.93,5000
BQT,4.12,42600
BR,1.28,880500
BRC,2.48,65200
BRE,6.31,500000
BREPRA,,
BREPRB,,
BRF,4.77,13400
BRKA,,
BRKB,,
BRL,,517400
BRM,4.81,11900
BRO,0.71,265200
BRT,9.02,1300
BRW,,1629200
BRX,,0
BRY,2.38,15600
BSC,1.05,961100
BSCPRA,,
BSCPRE,,
BSCPRF,,
BSCPRG,,
BSCPRX,,
BSCPRY,,
BSE,6.32,900
BSG,,507900
BSH,4.19,9900
BSP,8.84,14300
BSX,,3569100
BTAPRA,,
BTF,0.24,5600
BTH,0.79,158000
BTO,1.53,138600
BTT,,
BTU,1.46,107800
BUD,1.56,1919800
BUFPRC,,
BVC,,234700
BVS,23.79,3700
BW,7.86,34900
BWA,1.36,104500
BWC,1.35,71900
BWEPR,,
BWS,1.41,110100
BXG,,9600
BXP,6.86,196900
BXS,3.29,46100
BXSPRA,,
BY,,20900
BYD,,95300
BYM,6.42,10600
BZ,3.91,700
BZA,6.96,0
BZF,2.18,14100
BZH,,403900
BZL,0.80,4800
C,1.94,11218000
CA,0.53,4945200
CAE,2.49,10200
CAG,3.85,1081000
CAGPRB,,
CAH,0.17,2463300
CAI,,413900
CAL,,1487100
CAM,,835100
CAO,,326100
CAT,2.96,1407100
CAV,,11700
CB,2.50,1308200
CBC,,69100
CBE,3.78,610100
CBF,7.00,5600
CBG,,
CBGPRC,,
CBH,1.45,632400
CBK,,180000
CBL,6.83,78000
CBLPRA,,
CBLPRB,,
CBM,0.42,131200
CBO,6.73,10900
CBPRA,,
CBR,,61700
CBT,2.06,129600
CBU,3.42,9200
CBZ,,44300
CC,0.97,3565900
CCB,7.38,38700
CCC,1.95,56300
CCE,0.70,731100
CCI,,1590000
CCK,,1482000
CCL,1.67,1897100
CCPPRA,,
CCS,7.82,1100
CCT,7.35,2500
CCU,,2448800
CCWI,,
CCZ,6.03,200
CD,,4885800
CDC,15.00,6700
CDD,7.46,0
CDE,,2314100
CDI,,17200
CDN,,2257400
CDT,,49200
CDX,,364600
CE,,2929600
CEE,1.53,8700
CEG,3.49,477000
CEI,9.47,269400
CEIPRA,,
CEIPRB,,
CEN,,373800
CERPR,,
CEW,5.44,8200
CEY,,175800
CF,3.02,1116900
CFB,1.51,91600
CFC,0.90,580400
CFD,12.60,59900
CFE,8.07,6000
CFI,,29400
CFN,8.21,1500
CFP,8.74,6800
CFR,2.70,110900
CG,7.87,190900
CGC,5.02,11800
CGD,10.55,6700
CGI,3.40,20800
CGK,11.51,1000
CGO,,165700
CGPPRT,,
CGV,6.96,3100
CGX,,39700
CH,0.26,1100
CHB,,170400
CHD,0.97,72700
CHE,1.34,17200
CHG,4.72,45300
CHH,,27500
CHI,9.23,277400
CHK,1.43,1663900
CHKPR,,
CHN,0.42,37600
CHP,0.28,67700
CHS,,1395100
CHX,0.71,13400
CHZ,3.07,81300
CHZPRA,,
CI,2.85,1004200
CIA,,12700
CIC,7.80,28500
CIF,9.82,30500
CIHPRA,,
CIK,10.25,109900
CIL,7.29,1700
CIN,5.51,824300
CINPRA,,
CINPRB,,
CINPRC,,
CINPRI,,
CINPRJ,,
CIP,7.88,12700
CIR,0.91,9200
CIT,2.23,375800
CIVPRB,,
CIVPRC,,
CIVPRD,,
CIX,6.25,2500
CJO,7.63,900
CK,3.03,204400
CKC,,78600
CKH,,134900
CKI,11.68,500
CKP,,130100
CKR,,333700
CL,1.33,1859500
CLC,1.40,125900
CLD,2.15,6400
CLE,0.64,586400
CLF,,9900
CLH,7.00,700
CLI,8.74,199000
CLM,16.72,3900
CLP,7.85,39000
CLPPRA,,
CLPPRC,,
CLPR,,
CLX,2.18,1536800
CMA,4.39,1823300
CMAPRZ,,
CMC,2.02,118500
CME,,118100
CMH,0.50,277000
CMK,7.77,10200
CMM,,15500
CMMPRB,,
CMMPRF,,
CMMPRG,,
CMN,,12100
CMO,21.58,420200
CMOPRA,,
CMOPRB,,
CMS,7.24,2542700
CMSPRA,,
CMSPRB,,
CMSPRJ,,
